method,N,seed,near_P@30,near_Recall@30,near_P@100,near_Recall@100,strict_Recall@30,strict_Recall@100
MutCount (0 labels),20,0,0.24333333333333335,0.2703703703703704,0.09550000000000002,0.35370370370370363,0.4000000000000001,0.4000000000000001
Random,20,0,0.03333333333333333,0.03703703703703702,0.05000000000000001,0.18518518518518517,0.0,0.0
Ridge(compact),20,0,0.13333333333333333,0.14814814814814808,0.22000000000000003,0.8148148148148147,0.0,0.4000000000000001
MutCount (0 labels),20,1,0.24333333333333335,0.2703703703703704,0.09550000000000002,0.35370370370370363,0.4000000000000001,0.4000000000000001
Random,20,1,0.13333333333333333,0.14814814814814808,0.05000000000000001,0.18518518518518517,0.4000000000000001,0.4000000000000001
Ridge(compact),20,1,0.16666666666666663,0.18518518518518517,0.19,0.7037037037037038,0.20000000000000004,0.4000000000000001
MutCount (0 labels),20,2,0.24333333333333335,0.2703703703703704,0.09550000000000002,0.35370370370370363,0.4000000000000001,0.4000000000000001
Random,20,2,0.03333333333333333,0.03703703703703702,0.04000000000000001,0.14814814814814808,0.0,0.20000000000000004
Ridge(compact),20,2,0.26666666666666666,0.29629629629629617,0.12999999999999998,0.4814814814814814,0.4000000000000001,0.4000000000000001
MutCount (0 labels),20,3,0.24333333333333335,0.2703703703703704,0.09550000000000002,0.35370370370370363,0.4000000000000001,0.4000000000000001
Random,20,3,0.06666666666666667,0.07407407407407404,0.04000000000000001,0.14814814814814808,0.0,0.20000000000000004
Ridge(compact),20,3,0.23333333333333334,0.2592592592592593,0.12000000000000002,0.4444444444444445,0.4000000000000001,0.4000000000000001
MutCount (0 labels),20,4,0.24333333333333335,0.2703703703703704,0.09550000000000002,0.35370370370370363,0.4000000000000001,0.4000000000000001
Random,20,4,0.13333333333333333,0.14814814814814808,0.08000000000000002,0.29629629629629617,0.4000000000000001,0.4000000000000001
Ridge(compact),20,4,0.29999999999999993,0.33333333333333326,0.16000000000000003,0.5925925925925923,0.4000000000000001,0.5999999999999999
MutCount (0 labels),20,5,0.24333333333333335,0.2703703703703704,0.09550000000000002,0.35370370370370363,0.4000000000000001,0.4000000000000001
Random,20,5,0.06666666666666667,0.07407407407407404,0.08000000000000002,0.29629629629629617,0.0,0.4000000000000001
Ridge(compact),20,5,0.26666666666666666,0.29629629629629617,0.12000000000000002,0.4444444444444445,0.4000000000000001,0.4000000000000001
MutCount (0 labels),20,6,0.24333333333333335,0.2703703703703704,0.09550000000000002,0.35370370370370363,0.4000000000000001,0.4000000000000001
Random,20,6,0.06666666666666667,0.07407407407407404,0.04000000000000001,0.14814814814814808,0.20000000000000004,0.20000000000000004
Ridge(compact),20,6,0.29999999999999993,0.33333333333333326,0.16000000000000003,0.5925925925925923,0.4000000000000001,0.8000000000000002
MutCount (0 labels),20,7,0.24333333333333335,0.2703703703703704,0.09550000000000002,0.35370370370370363,0.4000000000000001,0.4000000000000001
Random,20,7,0.06666666666666667,0.07407407407407404,0.05000000000000001,0.18518518518518517,0.0,0.20000000000000004
Ridge(compact),20,7,0.13333333333333333,0.14814814814814808,0.14999999999999997,0.5555555555555556,0.20000000000000004,0.4000000000000001
