condition,n_pos,mutcount_auroc,ESM-2_auroc,AbLang_auroc,AntiBERTy_auroc
Mason binders,154,0.750422265595676,0.5225020644095788,0.600930861046468,0.5971961564447114
Absci binders,420,0.634052403467297,0.5609535066981876,0.5647613418890015,0.5501463469548575
Absci near-improvers,42,0.7229127762215997,0.5056995020230315,0.44907407407407407,0.43773342670401494
Absci strict improvers,5,0.6843774781919112,0.31007137192704204,0.26375892149088026,0.36558287073750995
