Model,Spearman_rho,Kendall_tau,AUC_ROC,AUPRC,Best_F1,P@30,P@100,P@top5%,P@30_ties,N,P@30_beatWT,P@100_beatWT
MutCount,0.18329529624781737,0.13274795691067984,0.634052403467297,0.4700148937598797,0.5410071942441825,0.8533333333333335,0.6315000000000002,0.7214285714285713,14,1266,0.06666666666666667,0.020000000000000004
BLOSUM62,0.026669819504832968,0.016830947551565716,0.6831039626252392,0.49293726148671435,0.549308755759894,0.6666666666666665,0.5984999999999999,0.5992063492063491,9,1266,0.0,0.0
ESM-2,-0.05449953441559278,-0.03354076099064997,0.5609535066981876,0.3694442183397667,0.5115332428761189,0.3866666666666666,0.38999999999999996,0.38095238095238104,7,1266,0.0,0.0
AbLang,0.01480289558032639,0.008854033484146501,0.5647613418890015,0.4090100265832226,0.5091830272320351,0.5333333333333333,0.4800000000000001,0.5079365079365079,1,1266,0.0,0.0
AntiBERTy,-0.031045142656394447,-0.02235671869488597,0.5501463469548575,0.3878747980664561,0.5090006207320789,0.5666666666666667,0.46000000000000013,0.5555555555555556,1,1266,0.0,0.0
