method,N,seed,near_P@30,near_Recall@30,near_P@100,near_Recall@100,strict_Recall@30,strict_Recall@100
Random,100,14,0.0,0.0,0.030000000000000006,0.07692307692307691,0.0,0.0
Ridge(one-hot),100,14,0.23333333333333334,0.17948717948717946,0.16000000000000003,0.4102564102564103,0.0,0.20000000000000004
Ridge(compact),100,14,0.26666666666666666,0.20512820512820515,0.19,0.4871794871794871,0.0,0.20000000000000004
MutCount (0 labels),100,15,0.21333333333333337,0.16842105263157894,0.09800000000000002,0.2578947368421053,0.5,0.5
Random,100,15,0.03333333333333333,0.026315789473684202,0.05000000000000001,0.13157894736842107,0.0,0.0
Ridge(one-hot),100,15,0.20000000000000004,0.15789473684210525,0.16999999999999998,0.4473684210526316,0.0,0.5
Ridge(compact),100,15,0.20000000000000004,0.15789473684210525,0.19,0.5,0.0,0.75
MutCount (0 labels),100,16,0.23333333333333334,0.1707317073170732,0.1005,0.24512195121951225,0.4000000000000001,0.4000000000000001
Random,100,16,0.0,0.0,0.020000000000000004,0.04878048780487806,0.0,0.0
Ridge(one-hot),100,16,0.03333333333333333,0.02439024390243903,0.16999999999999998,0.41463414634146345,0.0,0.4000000000000001
Ridge(compact),100,16,0.03333333333333333,0.02439024390243903,0.16999999999999998,0.41463414634146345,0.0,0.4000000000000001
MutCount (0 labels),100,17,0.20833333333333334,0.16025641025641024,0.09350000000000001,0.23974358974358972,0.4000000000000001,0.4000000000000001
Random,100,17,0.06666666666666667,0.05128205128205129,0.020000000000000004,0.05128205128205129,0.0,0.0
