Model,median_rank,P@30,Recall@100,MW_p_enrich,MW_p_anti,spearman_logE,rho_vs_mutcount
MutCount,177.5,0.6816666666666665,0.4220779220779221,2.053222706545177e-20,1.0,0.28616558241219925,-1.0
BLOSUM62,216.0,0.3349999999999999,0.2337662337662338,0.007518023834087812,0.9924959178805863,0.04864485955085342,-0.008905772082080913
ESM-2,243.0,0.4666666666666667,0.2337662337662338,0.2108292653641463,0.78936435766655,0.013468978827169777,-0.10706113089287804
AbLang,197.5,0.4666666666666667,0.27272727272727265,0.00015583467694706553,0.9998445671853201,0.11861266693204828,-0.2637464024003544
AntiBERTy,204.5,0.3666666666666666,0.25974025974025966,0.0002583165194790673,0.9997423278629252,0.11047791195661924,-0.1121758769673418
