Model,n_improvers,median_rank,P@10,Recall@10,Fold@10,P@10_ties,P@30,Recall@30,Fold@30,P@30_ties,P@100,Recall@100,Fold@100,P@100_ties,MW_p_enrich,MW_p_enrich_shuf,MW_p_anti,improver_midranks,improver_tie_ranges,n_total
MutCount,42,330.5,0.39,0.09285714285714286,2.4760680907877175,20.0,0.23833333333333334,0.17023809523809524,3.4642857142857153,14.0,0.10500000000000002,0.25,3.4642857142857153,123.0,3.1763171503810467e-07,4.768923542183114e-07,0.9999996830808396,"[1.0, 2.0, 12.5, 12.5, 12.5, 12.5, 12.5, 35.5, 67.0, 67.0, 153.0, 153.0, 153.0, 153.0, 153.0, 153.0, 153.0, 330.5, 330.5, 330.5, 330.5, 330.5, 330.5, 330.5, 330.5, 330.5, 330.5, 330.5, 579.5, 579.5, 579.5, 579.5, 579.5, 579.5, 579.5, 821.0, 821.0, 821.0, 821.0, 821.0, 821.0, 1223.5]","[[1, 1], [2, 2], [3, 22], [3, 22], [3, 22], [3, 22], [3, 22], [29, 42], [43, 91], [43, 91], [92, 214], [92, 214], [92, 214], [92, 214], [92, 214], [92, 214], [92, 214], [215, 446], [215, 446], [215, 446], [215, 446], [215, 446], [215, 446], [215, 446], [215, 446], [215, 446], [215, 446], [215, 446], [447, 712], [447, 712], [447, 712], [447, 712], [447, 712], [447, 712], [447, 712], [713, 929], [713, 929], [713, 929], [713, 929], [713, 929], [713, 929], [1192, 1255]]",1266
BLOSUM62,42,458.25,0.0,0.0,0.07698412698412713,4.0,0.0,0.0,0.24009900990098995,9.0,0.045000000000000005,0.10714285714285714,1.0,35.0,0.001862577239661346,0.0018260196860025771,0.998139975567386,"[62.5, 62.5, 93.0, 93.0, 93.0, 142.0, 142.0, 142.0, 142.0, 205.0, 205.0, 205.0, 271.0, 271.0, 271.0, 271.0, 271.0, 271.0, 271.0, 345.5, 420.5, 496.0, 496.0, 496.0, 577.5, 577.5, 577.5, 577.5, 664.5, 664.5, 664.5, 747.0, 747.0, 747.0, 823.0, 823.0, 897.5, 897.5, 897.5, 1020.0, 1020.0, 1197.0]","[[50, 75], [50, 75], [76, 110], [76, 110], [76, 110], [111, 173], [111, 173], [111, 173], [111, 173], [174, 236], [174, 236], [174, 236], [237, 305], [237, 305], [237, 305], [237, 305], [237, 305], [237, 305], [237, 305], [306, 385], [386, 455], [456, 536], [456, 536], [456, 536], [537, 618], [537, 618], [537, 618], [537, 618], [619, 710], [619, 710], [619, 710], [711, 783], [711, 783], [711, 783], [784, 862], [784, 862], [863, 932], [863, 932], [863, 932], [996, 1044], [996, 1044], [1186, 1208]]",1266
ESM-2,42,628.0,0.0,0.0,0.2298578199052132,1.0,0.0,0.0,0.24099378881987582,7.0,0.020000000000000004,0.04761904761904763,0.3626168224299068,1.0,0.4500445100999062,0.45004451649195165,0.5501253778514559,"[74.0, 94.0, 131.0, 203.0, 240.0, 241.0, 252.0, 282.0, 291.0, 298.0, 321.0, 323.0, 339.0, 345.0, 441.0, 453.0, 568.0, 575.0, 583.0, 597.0, 605.0, 651.0, 670.0, 697.0, 706.0, 738.0, 747.0, 781.0, 824.0, 883.0, 945.0, 955.0, 963.0, 977.0, 1003.0, 1027.0, 1031.0, 1036.0, 1054.0, 1084.0, 1113.0, 1173.0]","[[74, 74], [94, 94], [131, 131], [203, 203], [240, 240], [241, 241], [252, 252], [282, 282], [291, 291], [298, 298], [321, 321], [323, 323], [339, 339], [345, 345], [441, 441], [453, 453], [568, 568], [575, 575], [583, 583], [597, 597], [605, 605], [651, 651], [670, 670], [697, 697], [706, 706], [738, 738], [747, 747], [781, 781], [824, 824], [883, 883], [945, 945], [955, 955], [963, 963], [977, 977], [1003, 1003], [1027, 1027], [1031, 1031], [1036, 1036], [1054, 1054], [1084, 1084], [1113, 1113], [1173, 1173]]",1266
AbLang,42,812.0,0.0,0.0,0.12356687898089178,1.0,0.0,0.0,0.2099567099567098,1.0,0.020000000000000004,0.04761904761904763,0.6488294314381272,1.0,0.8694788206524816,0.8694787899845474,0.1306122538835966,"[42.0, 68.0, 114.0, 178.0, 187.0, 242.0, 266.0, 279.0, 363.0, 384.0, 416.0, 429.0, 476.0, 488.0, 535.0, 606.0, 636.0, 680.0, 730.0, 768.0, 796.0, 828.0, 834.0, 862.0, 863.0, 868.0, 882.0, 893.0, 906.0, 913.0, 921.0, 959.0, 975.0, 983.0, 1025.0, 1026.0, 1056.0, 1101.0, 1121.0, 1137.0, 1185.0, 1204.0]","[[42, 42], [68, 68], [114, 114], [178, 178], [187, 187], [242, 242], [266, 266], [279, 279], [363, 363], [384, 384], [416, 416], [429, 429], [476, 476], [488, 488], [535, 535], [606, 606], [636, 636], [680, 680], [730, 730], [768, 768], [796, 796], [828, 828], [834, 834], [862, 862], [863, 863], [868, 868], [882, 882], [893, 893], [906, 906], [913, 913], [921, 921], [959, 959], [975, 975], [983, 983], [1025, 1025], [1026, 1026], [1056, 1056], [1101, 1101], [1121, 1121], [1137, 1137], [1185, 1185], [1204, 1204]]",1266
AntiBERTy,42,700.5,0.0,0.0,0.1373937677053826,1.0,0.0,0.0,0.13857142857142868,1.0,0.030000000000000006,0.07142857142857142,0.6488294314381272,1.0,0.9153055737132154,0.9153055462822113,0.084761057317086,"[41.0, 50.0, 73.0, 113.0, 321.0, 329.0, 423.0, 437.0, 460.0, 465.0, 508.0, 535.0, 591.0, 597.0, 607.0, 612.0, 616.0, 656.0, 672.0, 684.0, 697.0, 704.0, 739.0, 779.0, 821.0, 839.0, 853.0, 861.0, 877.0, 885.0, 936.0, 955.0, 1015.0, 1017.0, 1020.0, 1024.0, 1106.0, 1113.0, 1158.0, 1178.0, 1191.0, 1250.0]","[[41, 41], [50, 50], [73, 73], [113, 113], [321, 321], [329, 329], [423, 423], [437, 437], [460, 460], [465, 465], [508, 508], [535, 535], [591, 591], [597, 597], [607, 607], [612, 612], [616, 616], [656, 656], [672, 672], [684, 684], [697, 697], [704, 704], [739, 739], [779, 779], [821, 821], [839, 839], [853, 853], [861, 861], [877, 877], [885, 885], [936, 936], [955, 955], [1015, 1015], [1017, 1017], [1020, 1020], [1024, 1024], [1106, 1106], [1113, 1113], [1158, 1158], [1178, 1178], [1191, 1191], [1250, 1250]]",1266
Random,42,633.0,0.0325,0.0077380952380952375,,,0.034333333333333334,0.024523809523809524,,,0.03295,0.07845238095238094,,,,,,[],[],1266
