Model,strict_p_deterministic,strict_p_midrank,strict_p_shuffle_mean,strict_p_shuffle_min,strict_p_shuffle_max,strict_shuffle_frac_sig,near_p_enrich
MutCount,0.027703410027761805,0.07464571540115385,0.07565281794938786,0.045056251506542334,0.14487094618856827,0.05,3.1763171503810467e-07
BLOSUM62,0.11445884537719946,0.15462317676328552,0.1553685709178148,0.1390697491539253,0.1877086181152463,0.0,0.001862577239661346
ESM-2,0.9270507951929499,0.9289894714548744,0.9270507951929499,0.9270507951929499,0.9270507951929499,0.0,0.4500445100999062
AbLang,0.96659495977949,0.9660892188917792,0.9665949597794897,0.96659495977949,0.96659495977949,0.0,0.8694788206524816
AntiBERTy,0.8457087678746942,0.8506755886602921,0.8457087678746941,0.8457087678746942,0.8457087678746942,0.0,0.9153055737132154
