dist_bin,method,mean,std,count,ci,metric
1,MutCount,-0.014581692066091676,0.1977034023193618,20,0.08664733640594018,spearman_rho
1,Ridge(compact),0.8102402124677319,0.05420655849005991,20,0.023757071723578094,spearman_rho
2,MutCount,0.11058379281357973,0.11543888889109251,20,0.05059332375027552,spearman_rho
2,Ridge(compact),0.6481025997298797,0.09258336727453266,20,0.040576449751090156,spearman_rho
3,MutCount,0.16763740092444007,0.1046670185010662,20,0.04587234340063998,spearman_rho
3,Ridge(compact),0.5887274370766123,0.06767757928947792,20,0.029661006897405286,spearman_rho
4,MutCount,0.09199829109149787,0.11225964822733643,20,0.04919996009504145,spearman_rho
4,Ridge(compact),0.43375157661236663,0.134412028468708,20,0.058908668799334936,spearman_rho
>=5,MutCount,0.20132137508300724,0.05994270190410888,20,0.026271047417668333,spearman_rho
>=5,Ridge(compact),0.45808813209244115,0.07846015231304877,20,0.03438667788300503,spearman_rho
1,MutCount,0.47872339974708716,0.13746026444495538,16,0.06735552957802814,improver_auroc
1,Ridge(compact),0.843610474520807,0.07838077415540243,16,0.03840657933614719,improver_auroc
2,MutCount,0.5833122065879003,0.08547843686548572,20,0.037462576706563416,improver_auroc
2,Ridge(compact),0.7172537092721641,0.07327459874377278,20,0.03211400882775894,improver_auroc
3,MutCount,0.5511398200733026,0.10213932705523514,20,0.04476453378043148,improver_auroc
3,Ridge(compact),0.6680726394532536,0.051144058109403985,20,0.02241487175325403,improver_auroc
4,MutCount,0.6031391453732987,0.07112788821638545,20,0.031173171456977445,improver_auroc
4,Ridge(compact),0.5957619255320088,0.07950907139148952,20,0.034846386938013854,improver_auroc
>=5,MutCount,0.6536789942525814,0.06628963194772937,20,0.02905271215475867,improver_auroc
>=5,Ridge(compact),0.7152400314464147,0.05753307626047428,20,0.025214982416727576,improver_auroc
