Model,Spearman_rho,Kendall_tau,AUC_ROC,AUPRC,Best_F1,P@30,P@100,P@top5%,P@30_ties,N
MutCount,0.28616558241219925,0.20990971735606556,0.750422265595676,0.5355067794201391,0.5866050808309504,0.6816666666666665,0.6500000000000001,0.7,32,500
BLOSUM62,0.04864485955085342,0.032664182703783434,0.5678815404248929,0.3495716286700068,0.4883227176216406,0.3349999999999999,0.36000000000000004,0.36800000000000005,14,500
ESM-2,0.013468978827169777,0.00851720569507338,0.5225020644095788,0.348021289718118,0.4799999999996286,0.4666666666666667,0.36000000000000004,0.4800000000000001,1,500
AbLang,0.11861266693204828,0.07869384300547064,0.600930861046468,0.3904313944896949,0.49223946784877426,0.4666666666666667,0.42000000000000004,0.4000000000000001,1,500
AntiBERTy,0.11047791195661924,0.07559521774788504,0.5971961564447114,0.38603602586224117,0.4932038834947265,0.3666666666666666,0.4000000000000001,0.4000000000000001,1,500
