method,N,mean,ci,lo,hi,n_seeds,metric
MutCount (0 labels),20,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,20,near_P@30
MutCount (0 labels),50,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,20,near_P@30
MutCount (0 labels),100,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,20,near_P@30
MutCount (0 labels),200,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,20,near_P@30
MutCount (0 labels),500,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,20,near_P@30
Random,20,0.07,0.01702365742960959,0.05297634257039042,0.0870236574296096,20,near_P@30
Random,50,0.07,0.01702365742960959,0.05297634257039042,0.0870236574296096,20,near_P@30
Random,100,0.07,0.01702365742960959,0.05297634257039042,0.0870236574296096,20,near_P@30
Random,200,0.07,0.01702365742960959,0.05297634257039042,0.0870236574296096,20,near_P@30
Random,500,0.07,0.01702365742960959,0.05297634257039042,0.0870236574296096,20,near_P@30
Ridge(compact),20,0.19666666666666666,0.040190412286589955,0.1564762543800767,0.2368570789532566,20,near_P@30
Ridge(compact),50,0.215,0.03593333333333332,0.17906666666666668,0.25093333333333334,20,near_P@30
Ridge(compact),100,0.23833333333333334,0.029704080488391113,0.20862925284494221,0.26803741382172447,20,near_P@30
Ridge(compact),200,0.24999999999999994,0.03053388492568494,0.21946611507431502,0.2805338849256849,20,near_P@30
Ridge(compact),500,0.26666666666666666,0.021720392229342703,0.24494627443732397,0.28838705889600935,20,near_P@30
MutCount (0 labels),20,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),50,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),100,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),200,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
MutCount (0 labels),500,0.4000000000000001,0.0,0.4000000000000001,0.4000000000000001,20,strict_Recall@100
Random,20,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,50,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,100,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,200,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Random,500,0.26,0.07577718028952765,0.18422281971047236,0.33577718028952763,20,strict_Recall@100
Ridge(compact),20,0.52,0.09171195181252635,0.4282880481874737,0.6117119518125264,20,strict_Recall@100
Ridge(compact),50,0.6900000000000001,0.10044528230256564,0.5895547176974344,0.7904452823025657,20,strict_Recall@100
Ridge(compact),100,0.7500000000000001,0.07980581696250363,0.6701941830374964,0.8298058169625038,20,strict_Recall@100
Ridge(compact),200,0.8400000000000001,0.060994149848895125,0.7790058501511049,0.9009941498488953,20,strict_Recall@100
Ridge(compact),500,0.8400000000000001,0.06099414984889514,0.7790058501511049,0.9009941498488953,20,strict_Recall@100
