Model,raw_rho,raw_p,partial_rho_ctrl_mut,partial_p,rho_vs_mutcount
MutCount,0.18329529624781737,0.00015854402091028044,,,-1.0
BLOSUM62,0.026669819504832968,0.5857282852698633,-0.07482841190880202,0.12574394150690552,-0.4943559851748003
AntiFold-crystal,0.09714784398541701,0.04662252526796373,-0.05410714268363467,0.2685653965073738,-0.728729773940623
ESM-2,-0.05449953441559278,0.26510428499852995,-0.1105404452952351,0.02347584608266656,-0.2730030899064862
